image_path,artist,style,genre,style_top1_name,style_top1_score,style_top2_name,style_top2_score,style_top3_name,style_top3_score,style_top4_name,style_top4_score,style_top5_name,style_top5_score
monet/monet_test_6.jpg,claude-monet,Impressionism,landscape,Impressionism,0.910666,Post_Impressionism,0.629168,Realism,0.387965,High_Renaissance,0.340321,Symbolism,0.287645
monet/monet_test_7.jpg,claude-monet,Impressionism,cityscape,Impressionism,0.904486,Post_Impressionism,0.663243,High_Renaissance,0.371459,Realism,0.346806,Baroque,0.318808
monet/monet_test_8.jpg,claude-monet,Impressionism,landscape,Impressionism,0.915347,Post_Impressionism,0.605318,Realism,0.351003,Symbolism,0.315529,High_Renaissance,0.315079
monet/monet_test_9.jpg,claude-monet,Impressionism,landscape,Impressionism,0.915891,Expressionism,0.522100,Post_Impressionism,0.445252,High_Renaissance,0.432589,Early_Renaissance,0.275973
picasso/picasso_test_0.jpg,pablo-picasso,Post_Impressionism,nude_painting,Post_Impressionism,0.745648,Symbolism,0.736746,Expressionism,0.677772,Baroque,0.515852,Cubism,0.372016
picasso/picasso_test_1.jpg,pablo-picasso,Cubism,still_life,Cubism,0.872569,Post_Impressionism,0.599607,Expressionism,0.547867,Realism,0.457443,Symbolism,0.439788
picasso/picasso_test_2.jpg,pablo-picasso,Symbolism,portrait,Symbolism,0.863089,Expressionism,0.587587,Realism,0.492226,Post_Impressionism,0.459065,High_Renaissance,0.408042
picasso/picasso_test_3.jpg,pablo-picasso,Expressionism,nude_painting,Post_Impressionism,0.810324,Expressionism,0.695652,Cubism,0.567079,Baroque,0.481310,High_Renaissance,0.457622
picasso/picasso_test_4.jpg,pablo-picasso,Expressionism,nude_painting,Post_Impressionism,0.776004,Expressionism,0.633941,Realism,0.631108,Symbolism,0.551448,Baroque,0.500370
picasso/picasso_test_5.jpg,pablo-picasso,Cubism,still_life,Cubism,0.905871,Expressionism,0.597893,Realism,0.483554,Impressionism,0.370131,High_Renaissance,0.323109
picasso/picasso_test_6.jpg,pablo-picasso,Symbolism,genre_painting,Expressionism,0.809961,Post_Impressionism,0.669264,Symbolism,0.587149,Realism,0.492011,Cubism,0.480878
picasso/picasso_test_7.jpg,pablo-picasso,Expressionism,portrait,Cubism,0.826812,Expressionism,0.645292,Early_Renaissance,0.522187,High_Renaissance,0.499064,Baroque,0.408190
picasso/picasso_test_8.jpg,pablo-picasso,Cubism,nude_painting,Cubism,0.806454,Post_Impressionism,0.710437,Symbolism,0.595274,Expressionism,0.580185,Early_Renaissance,0.332361
picasso/picasso_test_9.jpg,pablo-picasso,Symbolism,genre_painting,Symbolism,0.891606,Expressionism,0.580121,Post_Impressionism,0.460123,Realism,0.393620,Impressionism,0.378361
rembrandt/rembrandt_test_0.jpg,rembrandt,Baroque,portrait,Baroque,0.906300,Realism,0.515056,Early_Renaissance,0.484610,High_Renaissance,0.473014,Impressionism,0.324052
rembrandt/rembrandt_test_1.jpg,rembrandt,Baroque,religious_painting,Baroque,0.906449,Post_Impressionism,0.508109,Early_Renaissance,0.505405,High_Renaissance,0.400771,Realism,0.393631
rembrandt/rembrandt_test_2.jpg,rembrandt,Baroque,landscape,Baroque,0.828601,Impressionism,0.725348,Post_Impressionism,0.529132,Realism,0.489890,High_Renaissance,0.347208
rembrandt/rembrandt_test_3.jpg,rembrandt,Baroque,portrait,Baroque,0.886198,Realism,0.663278,High_Renaissance,0.498587,Early_Renaissance,0.450319,Post_Impressionism,0.307976
rembrandt/rembrandt_test_4.jpg,rembrandt,Baroque,genre_painting,Baroque,0.893662,Realism,0.562714,Cubism,0.505034,High_Renaissance,0.504386,Early_Renaissance,0.315084
rembrandt/rembrandt_test_5.jpg,rembrandt,Baroque,portrait,Baroque,0.905201,Realism,0.534324,High_Renaissance,0.503320,Expressionism,0.435257,Early_Renaissance,0.366934
rembrandt/rembrandt_test_6.jpg,rembrandt,Baroque,genre_painting,Baroque,0.900962,Realism,0.636555,High_Renaissance,0.438969,Early_Renaissance,0.406898,Post_Impressionism,0.335600
rembrandt/rembrandt_test_7.jpg,rembrandt,Baroque,religious_painting,Baroque,0.864192,High_Renaissance,0.723225,Realism,0.492529,Post_Impressionism,0.414483,Symbolism,0.385597
rembrandt/rembrandt_test_8.jpg,rembrandt,Baroque,portrait,Baroque,0.912836,Realism,0.579623,High_Renaissance,0.455256,Expressionism,0.324983,Early_Renaissance,0.322157
rembrandt/rembrandt_test_9.jpg,rembrandt,Baroque,portrait,Baroque,0.894380,Realism,0.671057,Early_Renaissance,0.459408,High_Renaissance,0.368252,Impressionism,0.315963
da_vinci/da_vinci_test_0.jpg,leonardo-da-vinci,High_Renaissance,religious_painting,High_Renaissance,0.882103,Early_Renaissance,0.643714,Baroque,0.570520,Cubism,0.355325,Realism,0.348133
da_vinci/da_vinci_test_1.jpg,leonardo-da-vinci,Early_Renaissance,sketch_and_study,Early_Renaissance,0.837507,High_Renaissance,0.797569,Realism,0.391083,Post_Impressionism,0.373000,Cubism,0.371571
da_vinci/da_vinci_test_2.jpg,leonardo-da-vinci,High_Renaissance,religious_painting,High_Renaissance,0.903274,Early_Renaissance,0.586318,Baroque,0.453532,Realism,0.376922,Expressionism,0.358097
da_vinci/da_vinci_test_3.jpg,leonardo-da-vinci,Early_Renaissance,sketch_and_study,Early_Renaissance,0.862375,High_Renaissance,0.744721,Baroque,0.474071,Post_Impressionism,0.412623,Cubism,0.310250
da_vinci/da_vinci_test_4.jpg,leonardo-da-vinci,High_Renaissance,sketch_and_study,High_Renaissance,0.877834,Early_Renaissance,0.623738,Post_Impressionism,0.537281,Baroque,0.458551,Realism,0.408277
da_vinci/da_vinci_test_5.jpg,leonardo-da-vinci,Early_Renaissance,religious_painting,High_Renaissance,0.850232,Early_Renaissance,0.753550,Post_Impressionism,0.447651,Baroque,0.387089,Symbolism,0.345346
da_vinci/da_vinci_test_6.jpg,leonardo-da-vinci,High_Renaissance,sketch_and_study,Early_Renaissance,0.833323,High_Renaissance,0.810027,Baroque,0.397782,Post_Impressionism,0.386162,Realism,0.360031
da_vinci/da_vinci_test_7.jpg,leonardo-da-vinci,Early_Renaissance,sketch_and_study,High_Renaissance,0.827706,Baroque,0.775869,Early_Renaissance,0.591747,Realism,0.337276,Post_Impressionism,0.332743
da_vinci/da_vinci_test_8.jpg,leonardo-da-vinci,High_Renaissance,portrait,High_Renaissance,0.886854,Early_Renaissance,0.670027,Baroque,0.484537,Realism,0.403239,Impressionism,0.303182
da_vinci/da_vinci_test_9.jpg,leonardo-da-vinci,High_Renaissance,sketch_and_study,High_Renaissance,0.872674,Early_Renaissance,0.616626,Baroque,0.551998,Post_Impressionism,0.433088,Impressionism,0.428517
